code;collectionpointcode;label;value;value_order
LISTE_HOPITAUX_167;PCS_167;Poste de santé DAROU RAHMANE;Poste de santé DAROU RAHMANE;546
LISTE_HOPITAUX_533;PCS_533;Poste de santé Darou salam;Poste de santé Darou salam;547
LISTE_HOPITAUX_117;PCS_117;Poste de santé de Abattoir Ndagane;Poste de santé de Abattoir Ndagane;548
LISTE_HOPITAUX_625;PCS_625;POSTE DE SANTE DE AINOUMADY;POSTE DE SANTE DE AINOUMADY;549
LISTE_HOPITAUX_590;PCS_590;Poste de sante de Amar;Poste de sante de Amar;550
LISTE_HOPITAUX_585;PCS_585;Poste de Santé de Amdalaye tessan;Poste de Santé de Amdalaye tessan;551
LISTE_HOPITAUX_291;PCS_291;Poste de Santé de Arthierie nord;Poste de Santé de Arthierie nord;552
LISTE_HOPITAUX_609;PCS_609;Poste de Santé de Bambadinka;Poste de Santé de Bambadinka;553
LISTE_HOPITAUX_748;PCS_748;Poste de santé de Bandafassi;Poste de santé de Bandafassi;554
LISTE_HOPITAUX_897;PCS_897;Poste de Santé de Bandegne;Poste de Santé de Bandegne;555
LISTE_HOPITAUX_519;PCS_519;Poste de santé de Bandionkoto;Poste de santé de Bandionkoto;556
LISTE_HOPITAUX_657;PCS_657;Poste de Santé de Bango ;Poste de Santé de Bango ;557
LISTE_HOPITAUX_611;PCS_611;Poste de Sante de BANTAKO;Poste de Sante de BANTAKO;558
LISTE_HOPITAUX_691;PCS_691;Poste de Santé de Batal;Poste de Santé de Batal;559
LISTE_HOPITAUX_785;PCS_785;Poste de santé de Benteigné;Poste de santé de Benteigné;560
LISTE_HOPITAUX_762;PCS_762;Poste de Santé de Bicole;Poste de Santé de Bicole;561
