value_order;code;label;value
500;PROFESSION_1_355;contrôleurs des douanes et des frontières;contrôleurs des douanes et des frontières
500;PROFESSION_1_356;contrôleurs des eaux et forets;contrôleurs des eaux et forets
500;PROFESSION_1_357;convoyeur(euse) de transport commun;convoyeur(euse) de transport commun
500;PROFESSION_1_358;élève cordonnier(e);élève cordonnier(e)
500;PROFESSION_1_359;correspondant(e) (presse, journaux, etc.);correspondant(e) (presse, journaux, etc.)
500;PROFESSION_1_360;coureur professionnel;coureur professionnel
500;PROFESSION_1_361;courtier(e) en assurances;courtier(e) en assurances
500;PROFESSION_1_362;courtier(e) immobilier;courtier(e) immobilier
500;PROFESSION_1_363;courtier(e) maritime;courtier(e) maritime
500;PROFESSION_1_364;courtier(e), bourse des valeurs;courtier(e), bourse des valeurs
500;PROFESSION_1_365;élève couturier(e);élève couturier(e)
500;PROFESSION_1_366;creuseur de puits, puisatier;creuseur de puits, puisatier
500;PROFESSION_1_367;criminologue;criminologue
500;PROFESSION_1_368;critique;critique
500;PROFESSION_1_369;croupier(e) et assimilé dans le secteur des jeux de hasard;croupier(e) et assimilé dans le secteur des jeux de hasard
500;PROFESSION_1_370;cuisinier(e);cuisinier(e)
500;PROFESSION_1_371;cuisinier;cuisinier
500;PROFESSION_1_372;cultivateur;cultivateur
500;PROFESSION_1_373;dactylographe;dactylographe
500;PROFESSION_1_374;danseur;danseur
500;PROFESSION_1_375;déclarant en douane;déclarant en douane
500;PROFESSION_1_376;dessinateur(rice) de modèle;dessinateur(rice) de modèle
500;PROFESSION_1_377;dégustateur(rice);dégustateur(rice)
500;PROFESSION_1_379;démographe;démographe
500;PROFESSION_1_380;démonstrateurs en magasin;démonstrateurs en magasin
500;PROFESSION_1_381;dentiste;dentiste
500;PROFESSION_1_382;dépanneur de poste récepteur radio et télévision;dépanneur de poste récepteur radio et télévision
500;PROFESSION_1_383;député(e), sénateur(rice);député(e), sénateur(rice)
500;PROFESSION_1_384;dermatologue;dermatologue
500;PROFESSION_1_385;dessinateur textile;dessinateur textile
500;PROFESSION_1_386;dessinateur;dessinateur
500;PROFESSION_1_388;diabétologue;diabétologue
500;PROFESSION_1_389;diacre;diacre
500;PROFESSION_1_391;diététicien(ne);diététicien(ne)
500;PROFESSION_1_392;directeur(rice) des btp # 130005;directeur(rice) des btp # 130005
500;PROFESSION_1_393;directeur(rice) (chef de division) # 111206;directeur(rice) (chef de division) # 111206
500;PROFESSION_1_417;chef(fe) d'entreprise;chef(fe) d'entreprise
500;PROFESSION_1_420;cadre de société;cadre de société
500;PROFESSION_1_426;distributeur de comprimes;distributeur de comprimes
500;PROFESSION_1_427;docker;docker
500;PROFESSION_1_428;documentaliste;documentaliste
500;PROFESSION_1_429;aide menagère;aide menagère
500;PROFESSION_1_430;ébéniste;ébéniste
500;PROFESSION_1_432;économiste;économiste
500;PROFESSION_1_433;écrivains publics et assimilés;écrivains publics et assimilés
500;PROFESSION_1_436;ingénieur électrotechnicien(ne);ingénieur électrotechnicien(ne)
500;PROFESSION_1_437;éleveur(euse) de bétail;éleveur(euse) de bétail
500;PROFESSION_1_438;éleveur(euse) de bovins, camelins, équins pour subsistance;éleveur(euse) de bovins, camelins, équins pour subsistance
500;PROFESSION_1_439;éleveur(euse) de volaille;éleveur(euse) de volaille
500;PROFESSION_1_440;éleveur(euse) des petits ruminants;éleveur(euse) des petits ruminants
500;PROFESSION_1_441;éleveur(euse) des rongeurs;éleveur(euse) des rongeurs
500;PROFESSION_1_442;éleveur(euse) et ouvriers qualifies de l'élevage commercial nca;éleveur(euse) et ouvriers qualifies de l'élevage commercial nca
500;PROFESSION_1_443;emballeur;emballeur
500;PROFESSION_1_444;employé(e) d'approvisionnement;employé(e) d'approvisionnement
500;PROFESSION_1_445;employé(e) de bibliothèque;employé(e) de bibliothèque
500;PROFESSION_1_446;employé(e) de service administratif;employé(e) de service administratif
500;PROFESSION_1_447;employé(e) du service du personnel;employé(e) du service du personnel
500;PROFESSION_1_448;employé(e) de service du courrier;employé(e) de service du courrier
500;PROFESSION_1_449;employé(e) du service d'ordonnancement de la production;employé(e) du service d'ordonnancement de la production
500;PROFESSION_1_450;employé(e), service d'information;employé(e), service d'information
500;PROFESSION_1_451;encadreur(euse) agricole;encadreur(euse) agricole
500;PROFESSION_1_452;encadreur(euse) d'enseignement religieux;encadreur(euse) d'enseignement religieux
500;PROFESSION_1_453;encaisseur de distributeur automatique à prépaiement;encaisseur de distributeur automatique à prépaiement
500;PROFESSION_1_454;encaisseur(euse) et assimilé;encaisseur(euse) et assimilé
500;PROFESSION_1_455;enseignant(e), éducation spéciale;enseignant(e), éducation spéciale
500;PROFESSION_1_456;entraineur(euse);entraineur(euse)
500;PROFESSION_1_457;entrepreneur, industriel;entrepreneur, industriel
500;PROFESSION_1_458;essayeur(euse) de produits;essayeur(euse) de produits
500;PROFESSION_1_459;estampeur;estampeur
500;PROFESSION_1_460;esthéticien(ne) et assimilé;esthéticien(ne) et assimilé
500;PROFESSION_1_461;ethnologue;ethnologue
500;PROFESSION_1_462;ethnomédecin;ethnomédecin
500;PROFESSION_1_463;expert(e)-comptable;expert(e)-comptable
500;PROFESSION_1_464;exploitant(e) de verger - pépiniériste;exploitant(e) de verger - pépiniériste
500;PROFESSION_1_465;exploitant(e) forestier(e);exploitant(e) forestier(e)
500;PROFESSION_1_466;fabricant de boisson locale (dolotiere);fabricant de boisson locale (dolotiere)
500;PROFESSION_1_467;facteur et accordeur d'instruments de musique;facteur et accordeur d'instruments de musique
500;PROFESSION_1_468;ferblantier(e);ferblantier(e)
500;PROFESSION_1_469;ferrailleur;ferrailleur
500;PROFESSION_1_470;fileuse de coton;fileuse de coton
500;PROFESSION_1_471;fonde(e) de pouvoir;fonde(e) de pouvoir
500;PROFESSION_1_472;footballeur(euse) professionnel(le);footballeur(euse) professionnel(le)
500;PROFESSION_1_473;foreur(euse) de puits;foreur(euse) de puits
500;PROFESSION_1_474;forgeron;forgeron
500;PROFESSION_1_476;fossoyeur;fossoyeur
500;PROFESSION_1_477;fumigateur;fumigateur
500;PROFESSION_1_478;fille de salle;fille de salle
500;PROFESSION_1_479;garçon, fille d'hôtel;garçon, fille d'hôtel
500;PROFESSION_1_480;coursier;coursier
500;PROFESSION_1_481;garde de corps;garde de corps
